x,y,state
571.1,-132.8,PA
103.4,-97,OR
94.10000000000001,-91.5,OR
93.85000000000001,-91.41250000000001,OR
93.60000000000001,-91.4,OR
93.3125,-91.41250000000001,OR
93.10000000000001,-91.5,OR
84.30000000000001,-96.7,OR
75.4,-91.5,OR
75.15,-91.41250000000001,OR
74.9,-91.4,OR
74.61250000000001,-91.41250000000001,OR
74.4,-91.5,OR
65.60000000000001,-96.7,OR
56.80000000000001,-91.5,OR
56.55000000000001,-91.41250000000001,OR
56.30000000000001,-91.4,OR
56.01250000000001,-91.41250000000001,OR
55.80000000000001,-91.5,OR
46.5,-97,OR
46.1375,-97.375,OR
46,-97.9,OR
46,-108.2,OR
37.2,-113.3,OR
36.837500000000006,-113.67500000000001,OR
36.7,-114.2,OR
36.7,-125,OR
36.837500000000006,-125.525,OR
37.2,-125.9,OR
46.5,-131.20000000000002,OR
46.75,-131.28750000000002,OR
47,-131.3,OR
47.25,-131.28750000000002,OR
47.5,-131.20000000000002,OR
56.3,-126.20000000000002,OR
65.2,-131.20000000000002,OR
65.45,-131.28750000000002,OR
65.7,-131.3,OR
65.95,-131.28750000000002,OR
66.2,-131.20000000000002,OR
74.9,-126.20000000000002,OR
83.80000000000001,-131.3,OR
84.05000000000001,-131.3875,OR
84.30000000000001,-131.4,OR
84.55000000000001,-131.3875,OR
84.80000000000001,-131.3,OR
94.10000000000001,-126.00000000000001,OR
94.4625,-125.625,OR
94.60000000000001,-125.10000000000001,OR
94.60000000000001,-114.7,OR
103.4,-109.60000000000001,OR
103.76250000000002,-109.225,OR
103.9,-108.7,OR
103.9,-97.9,OR
103.76250000000002,-97.375,OR
103.4,-97,OR
103.4,-97,OR
323.3,-337.6,OK
313.90000000000003,-332.3,OK
313.65000000000003,-332.2125,OK
313.40000000000003,-332.2,OK
313.15000000000003,-332.2125,OK
312.90000000000003,-332.3,OK
304.1,-337.3,OK
295.3,-332.3,OK
295.05,-332.2125,OK
294.8,-332.2,OK
294.55,-332.2125,OK
294.3,-332.3,OK
285.5,-337.3,OK
276.6,-332.3,OK
276.35,-332.2125,OK
276.1,-332.2,OK
275.85,-332.2125,OK
275.6,-332.3,OK
266.8,-337.3,OK
258,-332.3,OK
257.75,-332.2125,OK
257.5,-332.2,OK
257.25,-332.2125,OK
257,-332.3,OK
247.7,-337.6,OK
247.33749999999998,-337.975,OK
247.2,-338.5,OK
247.2,-349.3,OK
247.33749999999998,-349.82500000000005,OK
247.7,-350.2,OK
257,-355.5,OK
257.25,-355.58750000000003,OK
257.5,-355.6,OK
257.75,-355.58750000000003,OK
258,-355.5,OK
266.8,-350.5,OK
275.6,-355.5,OK
275.85,-355.58750000000003,OK
276.1,-355.6,OK
276.35,-355.58750000000003,OK
276.6,-355.5,OK
285.5,-350.5,OK
293.8,-355.2,OK
293.8,-365.4,OK
293.9375,-365.92499999999995,OK
294.3,-366.29999999999995,OK
303.6,-371.79999999999995,OK
303.85,-371.8875,OK
304.1,-371.9,OK
304.38750000000005,-371.8875,OK
304.6,-371.79999999999995,OK
313.90000000000003,-366.29999999999995,OK
314.26250000000005,-365.92499999999995,OK
314.40000000000003,-365.4,OK
314.40000000000003,-355.2,OK
323.3,-350.2,OK
323.6625,-349.82500000000005,OK
323.8,-349.3,OK
323.8,-338.5,OK
323.73749999999995,-337.9375,OK
323.3,-337.6,OK
323.3,-337.6,OK
402.6,-199.7,OH
402.35,-199.6875,OH
402.1,-199.6,OH
392.70000000000005,-194.29999999999998,OH
392.3375000000001,-193.92499999999998,OH
392.20000000000005,-193.39999999999998,OH
392.20000000000005,-183.2,OH
383.90000000000003,-178.5,OH
375.1,-183.5,OH
374.85,-183.58749999999998,OH
374.6,-183.6,OH
374.35,-183.58749999999998,OH
374.1,-183.5,OH
364.8,-178.2,OH
364.4375,-177.825,OH
364.3,-177.29999999999998,OH
364.3,-167.2,OH
355.40000000000003,-162.1,OH
355.0375,-161.725,OH
354.90000000000003,-161.2,OH
354.90000000000003,-150.39999999999998,OH
355.0375,-149.87499999999997,OH
355.40000000000003,-149.49999999999997,OH
364.3,-144.29999999999998,OH
364.3,-134.7,OH
355.40000000000003,-129.7,OH
355.0375,-129.325,OH
354.90000000000003,-128.79999999999998,OH
354.90000000000003,-118,OH
355.0375,-117.475,OH
355.40000000000003,-117.1,OH
364.8,-111.8,OH
365.05,-111.7125,OH
365.3,-111.7,OH
365.55,-111.7125,OH
365.8,-111.8,OH
374.6,-116.8,OH
383.40000000000003,-111.8,OH
383.65000000000003,-111.7125,OH
383.90000000000003,-111.7,OH
384.15000000000003,-111.7125,OH
